id,name
53855,低级极乐 - 伽玛型
53856,低级极乐 - 德尔塔型
53857,低级极乐—伊普西隆型
53890,高级救世 - 阿尔法型
53891,高级救世 - 贝它型
53892,高级救世 - 伽玛型
53893,高级救世 - 德尔塔型
53894,高级救世 - 伊普西隆型
53895,高级救世 - 欧米伽型
53896,中级救世 - 阿尔法型
53897,中级救世 - 贝它型
53898,中级救世 - 伽玛型
53899,中级救世 - 德尔塔型
53900,中级救世 - 伊普西隆型
53901,中级救世 - 欧米伽型
53902,低级救世 - 阿尔法型
53903,低级救世 - 贝它型
53904,低级救世 - 伽玛型
53905,低级救世 - 德尔塔型
53906,低级救世 - 伊普西隆型
53907,低级救世 - 欧米伽型
54392,高级九头蛇 - 阿尔法型
54393,高级九头蛇 - 贝它型
54394,高级九头蛇 - 伽玛型
54395,高级九头蛇 - 德尔塔型
54396,高级九头蛇 - 伊普西隆型
54397,高级九头蛇 - 欧米伽型
54398,中级九头蛇 - 阿尔法型
54399,中级九头蛇 - 贝它型
54400,中级九头蛇 - 伽玛型
54401,中级九头蛇 - 德尔塔型
54402,中级九头蛇 - 伊普西隆型
54403,中级九头蛇 - 欧米伽型
54404,低级九头蛇 - 阿尔法型
54405,低级九头蛇 - 贝它型
54406,低级九头蛇 - 伽玛型
54407,低级九头蛇 - 德尔塔型
54408,低级九头蛇 - 伊普西隆型
54409,低级九头蛇 - 欧米伽型
57110,低级销魂 - 阿尔法型
57111,低级销魂 - 贝它型
57112,低级销魂 - 伽玛型
57113,低级销魂 - 德尔塔型
57114,低级销魂 - 伊普西隆型
57116,低级销魂 - 欧米伽型
57117,中级销魂 - 阿尔法型
57118,中级销魂 - 贝它型
57119,中级销魂 - 伽玛型
57120,中级销魂 - 德尔塔型
57121,中级销魂 - 伊普西隆型
57122,中级销魂 - 欧米伽型
57123,高级销魂 - 阿尔法型
57124,高级销魂 - 贝它型
57125,高级销魂 - 伽玛型
57126,高级销魂 - 德尔塔型
57127,高级销魂 - 伊普西隆型
57128,高级销魂 - 欧米伽型
88119,低级分裂阿尔法型
88120,低级分裂贝它型
88121,低级分裂伽玛型
88122,低级分裂德尔塔型
88123,低级分裂伊普西隆型
88124,低级分裂欧米伽型
88125,中级分裂阿尔法型
88126,中级分裂贝它型
88127,中级分裂伽玛型
88128,中级分裂德尔塔型
88129,中级分裂伊普西隆型
88130,中级分裂欧米伽型
